Order,Material,Material description,Created On,Release date (actual),Confirmed finish date,,Order quantity (GMEIN),Delivered quantity (GMEIN),Change date,Status,Created On (bins),Change date (bins),Closed Date,Closed Date (bins)
2100002458,69913809-0100QS1P,,14-Oct-24,10/14/2024,13-Nov-24,,150,150,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002461,69923958-0000100P,,14-Oct-24,10/14/2024,19-Nov-24,,770,770,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002454,69563973-0001TS2P,,11-Oct-24,10/11/2024,3-Dec-24,,39,39,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002426,69912433-0031200P,,7-Oct-24,10/7/2024,4-Nov-24,,102,102,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002427,69912426-1099TS3P,,7-Oct-24,10/7/2024,13-Nov-24,,102,102,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002430,69912425-1099TS5P,,7-Oct-24,10/7/2024,11-Dec-24,,107,107,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002431,69912421-1099TS5P,,7-Oct-24,10/7/2024,11-Nov-24,,110,110,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2300000882,67014747-0000TS2P,,4-Oct-24,10/4/2024,5-Nov-24,,44,44,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002418,69925259-0010200P,,4-Oct-24,10/4/2024,19-Nov-24,,500,500,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002419,69925259-0010200P,,4-Oct-24,10/4/2024,16-Dec-24,,500,500,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002414,6992G535-0200QS5P,,3-Oct-24,10/3/2024,14-Nov-24,,26,26,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002407,69914810-0072400P,,1-Oct-24,10/1/2024,12-Nov-24,,100,100,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002408,69914810-0072400P,,1-Oct-24,10/1/2024,27-Nov-24,,200,200,1/1/2025,TECO,October 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002403,6992G525-0220EB3P,,30-Sep-24,9/30/2024,10-Oct-24,,24,24,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002399,6992G535-0200EB8P,,28-Sep-24,9/28/2024,17-Oct-24,,5,5,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002396,69924869-0000TS8P,,27-Sep-24,9/27/2024,7-Nov-24,,100,100,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002393,69923958-0000100P,,26-Sep-24,9/26/2024,4-Oct-24,,40,40,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002394,69913931-0000TS1P,,26-Sep-24,9/26/2024,10-Oct-24,,22,22,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
2100002395,69913932-0100TS1P,,26-Sep-24,9/26/2024,7-Oct-24,,5,5,1/1/2025,TECO,September 2024,January 2025,1/1/2025 0:00,12/29/2024
